"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"idopNetwork",0.713903743315508,0.37114300360398,0.470588235294118,0.163636363636364,0.306951871657754,0.705882352941177,0.5,207.61,"ok",0.03,30,19,"noise"
"WGCNA",0.399732620320856,0.205424136946138,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.449999999999818,"ok",0.03,30,19,"noise"
"GENIE3",0.627673796791444,0.322327457161458,0.318181818181818,0.220588235294118,0.0975935828877005,0.727272727272727,NA,0.190000000000055,"ok",0.03,30,19,"noise"
"idopNetwork",0.774621212121212,0.474368441991812,0.5,0.136363636363636,0.363636363636364,0.75,0.5,68.8300000000004,"ok",0.03,30,20,"noise"
"WGCNA",0.439839572192513,0.209659359526016,0.227272727272727,0.25,-0.0227272727272727,NA,NA,1,"ok",0.03,30,20,"noise"
"GENIE3",0.61831550802139,0.354334944370683,0.363636363636364,0.205882352941176,0.157754010695187,0.772727272727273,NA,0.329999999999927,"ok",0.03,30,20,"noise"
"idopNetwork",0.676136363636364,0.383946852885597,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.75,91.6700000000001,"ok",0.05,30,1,"noise"
"WGCNA",0.491978609625668,0.247939838734104,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,1.63999999999987,"ok",0.05,30,1,"noise"
"GENIE3",0.643048128342246,0.357687773749499,0.272727272727273,0.235294117647059,0.0374331550802139,0.636363636363636,NA,0.349999999999909,"ok",0.05,30,1,"noise"
"idopNetwork",0.787878787878788,0.427977483291765,0.5,0.136363636363636,0.363636363636364,0.833333333333333,0.545454545454545,132.8,"ok",0.05,30,2,"noise"
"WGCNA",0.397058823529412,0.215909977794389,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.4699999999998,"ok",0.05,30,2,"noise"
"GENIE3",0.602941176470588,0.340180161012413,0.272727272727273,0.235294117647059,0.0374331550802139,0.545454545454545,NA,0.180000000000291,"ok",0.05,30,2,"noise"
"idopNetwork",0.653409090909091,0.360177659911029,0.25,0.204545454545455,0.0454545454545455,0.583333333333333,0.5,47.5099999999998,"ok",0.05,30,3,"noise"
"WGCNA",0.475935828877005,0.30653095911051,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.470000000000255,"ok",0.05,30,3,"noise"
"GENIE3",0.629010695187166,0.373623776259867,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.190000000000055,"ok",0.05,30,3,"noise"
"idopNetwork",0.75094696969697,0.417710474505018,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.454545454545455,68.75,"ok",0.05,30,4,"noise"
"WGCNA",0.495989304812834,0.267236291571582,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.460000000000036,"ok",0.05,30,4,"noise"
"GENIE3",0.675133689839572,0.337905306893167,0.318181818181818,0.220588235294118,0.0975935828877005,0.681818181818182,NA,0.170000000000073,"ok",0.05,30,4,"noise"
"idopNetwork",0.706439393939394,0.554728803006614,0.5,0.136363636363636,0.363636363636364,0.5,0.375,42.8300000000004,"ok",0.05,30,5,"noise"
"WGCNA",0.508021390374332,0.244045022987928,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.419999999999618,"ok",0.05,30,5,"noise"
"GENIE3",0.544786096256685,0.289507510954938,0.227272727272727,0.25,-0.0227272727272727,0.409090909090909,NA,0.190000000000055,"ok",0.05,30,5,"noise"
"idopNetwork",0.643939393939394,0.334949539032549,0.333333333333333,0.181818181818182,0.151515151515152,0.416666666666667,0.666666666666667,59.6500000000001,"ok",0.05,30,6,"noise"
"WGCNA",0.403743315508021,0.198809154880267,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.470000000000255,"ok",0.05,30,6,"noise"
"GENIE3",0.622326203208556,0.359136993377858,0.272727272727273,0.235294117647059,0.0374331550802139,0.727272727272727,NA,0.1899999999996,"ok",0.05,30,6,"noise"
"idopNetwork",0.71969696969697,0.337430711153602,0.416666666666667,0.159090909090909,0.257575757575758,0.666666666666667,0.333333333333333,37.3600000000001,"ok",0.05,30,7,"noise"
"WGCNA",0.487967914438503,0.226417416212396,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.4699999999998,"ok",0.05,30,7,"noise"
